,0,1,2,3,4
0,2000.93,1991.84,1982.98,1966.49,1862.13
1,2000.17,1990.71,1982.29,1961.56,1863.85
2,1998.75,1990.02,1984.1,1958.07,1866.52
3,2002.29,1994.1,1983.16,1963.59,1876.29
4,2000.55,1991.78,1983.14,1965.43,1871.92
5,2000.91,1991.85,1981.86,1966.37,1871.99
6,2000.31,1993.55,1982.49,1961.8,1864.02
7,2001.72,1994.49,1978.73,1969.12,1866.68
8,2001.55,1993.98,1977.24,1968.96,1867.22
9,2004.59,1993.76,1985.02,1966.92,1870.07
10,2001.87,1991.42,1977.53,1966.25,1866.28
11,2000.91,1992.83,1978.21,1966.59,1867.12
