,0,1,2,3,4,5
0,1.84,3.28,5.91,8.23,12.66,18.96
1,1.68,3.36,4.77,7.44,10.61,18.22
2,1.66,2.94,4.8,6.17,9.86,15.03
3,12.71,17.16,21.24,22.93,27.11,30.43
4,11.59,16.83,18.88,22.73,25.24,31.15
5,11.66,15.19,18.4,20.21,23.76,28.48
6,12.84,17.26,21.53,24.36,28.59,32.15
7,11.79,17.41,19.02,22.98,25.72,32.46
8,11.79,15.47,19.15,20.65,25.14,29.74
9,3.7,5.17,7.52,9.74,14.41,21.25
10,3.54,5.74,6.36,9.22,12.44,20.52
11,3.73,5.05,6.5,7.65,11.36,17.11
12,15.29,20.12,25.11,28.98,36.79,44.35
13,14.48,21.43,22.3,28.73,33.17,46.27
14,15.12,19.2,22.68,24.67,30.41,39.15
15,15.45,20.17,25.17,29.58,37.37,44.95
16,14.55,21.61,22.38,28.79,33.35,46.74
17,15.09,19.34,22.96,24.81,30.91,39.64
18,0.11,0.15,0.21,0.26,0.29,0.3
19,0.08,0.13,0.19,0.22,0.26,0.26
20,0.07,0.11,0.16,0.2,0.23,0.25
21,0.24,0.27,0.28,0.29,0.27,0.26
22,0.2,0.23,0.26,0.26,0.26,0.24
23,0.18,0.21,0.23,0.24,0.24,0.23
24,0.24,0.27,0.27,0.27,0.26,0.25
25,0.21,0.23,0.26,0.25,0.25,0.23
26,0.18,0.21,0.22,0.23,0.23,0.22
27,371.45,479.09,603.41,725.21,955.88,1187.75
28,358.99,536.28,537.82,717.7,847.99,1251.96
29,378.14,478.95,558.14,605.84,768.87,1026.75
30,369.84,478.64,603.67,724.09,956.08,1187.81
31,357.92,535.69,535.76,718.72,849.44,1253.97
32,379.77,477.49,558.8,605.4,768.6,1028.25
33,371.87,479.93,602.34,725.84,957.32,1189.03
34,356.46,534.45,536.7,717.7,849.2,1252.53
35,378.08,478.51,558.16,603.57,768.26,1028.09
